Model,InputType,FeatureType,Strategy,Alpha,Val_Sharpe,Val_Precision,Val_Recall,Val_AvgReturn,Test_Sharpe,Test_Precision,Test_Recall,Test_AvgReturn,Model_Path
LGBM,ohlc,extended,long,0.626,0.08722604958838111,0.5894736842105263,0.08183716075156576,0.0008169798768966946,0.1628318115098468,0.5953002610966057,0.049011177987962166,0.0013397722125033102,experiments/experiment_volume_all_features/models/lgbm_long_ohlc_extended.pkl
LGBM,candle,raw,long,0.604,0.010896093056184704,0.540084388185654,0.0801670146137787,0.00010873314161462566,0.07885301667553805,0.5773809523809523,0.04170249355116079,0.0007297480433997346,experiments/experiment_volume_all_features/models/lgbm_long_candle_raw.pkl
LGBM,candle,extended,long,0.614,0.37500293237677407,0.6112920738327905,0.1175365344467641,0.003658229832074121,0.0046335901744796425,0.5693135935397039,0.09092863284608771,4.1142706966326735e-05,experiments/experiment_volume_all_features/models/lgbm_long_candle_extended.pkl
LOGISTIC,ohlc,extended,long,0.664,0.1357562784984484,0.5841121495327103,0.10438413361169102,0.0014483422970676572,0.09940808333013237,0.5551982851018221,0.1113499570077386,0.0007991761021791605,experiments/experiment_volume_all_features/models/logistic_long_ohlc_extended.pkl
XGBOOST,candle,extended,long,0.638,0.1868520206136808,0.5893854748603352,0.08810020876826723,0.0018716879845891556,0.03077887846011519,0.5541490857946554,0.08469475494411006,0.0002681715946745335,experiments/experiment_volume_all_features/models/xgboost_long_candle_extended.pkl
XGBOOST,ohlc,extended,long,0.61,0.12405951366846843,0.5866666666666667,0.11941544885177453,0.0011657874785705844,0.00984035889445015,0.553763440860215,0.11070507308684437,8.102606055350002e-05,experiments/experiment_volume_all_features/models/xgboost_long_ohlc_extended.pkl
LGBM,ohlc,raw,long,0.599,0.04854385447539871,0.5730180806675939,0.08601252609603341,0.00042814336727068465,0.027127720326519878,0.551829268292683,0.038907996560619086,0.00022342148905281795,experiments/experiment_volume_all_features/models/lgbm_long_ohlc_raw.pkl
LOGISTIC,candle,extended,long,0.6900000000000001,0.07557429066262603,0.5674846625766872,0.11586638830897704,0.0008725881974276121,0.05757375954335673,0.5441988950276243,0.12704213241616508,0.0004860342606131381,experiments/experiment_volume_all_features/models/logistic_long_candle_extended.pkl
LOGISTIC,ohlc,raw,long,0.655,0.20951225378081242,0.6059379217273954,0.09373695198329854,0.0026006147573540517,0.018035620176891073,0.5407673860911271,0.09694754944110061,0.00016289600869402756,experiments/experiment_volume_all_features/models/logistic_long_ohlc_raw.pkl
LOGISTIC,candle,raw,long,0.673,0.11727473184527967,0.5812053115423902,0.11878914405010438,0.001434355821119629,0.011580268746434336,0.5406871609403255,0.12854686156491832,0.00010363673876045333,experiments/experiment_volume_all_features/models/logistic_long_candle_raw.pkl
XGBOOST,ohlc,raw,long,0.59,0.13453746487672633,0.5525339925834364,0.09331941544885178,0.0010273341637007669,0.09130473734771488,0.5354330708661418,0.029234737747205503,0.001096507162484113,experiments/experiment_volume_all_features/models/xgboost_long_ohlc_raw.pkl
XGBOOST,candle,raw,long,0.598,0.08582976003209272,0.567741935483871,0.0918580375782881,0.0007010200106017779,-0.01761000115795454,0.5317919075144508,0.05932932072226999,-0.00014889101648032007,experiments/experiment_volume_all_features/models/xgboost_long_candle_raw.pkl
